# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.153626633470192,0.5503533383862935,-179.96864652520273,0,3.0,1.024462364142334,0.0,0.0,0.002035868297992877
 0.060968700731054155,2.1480508606017787,0.550350287203937,-179.96864652520273,0.18290610219316247,3.0,1.024462364142334,0.0001241242449881683,13.290315063582808,0.015641862724234422
 0.08477361072623289,2.1428468825316735,0.5503187038602884,-179.65227177130657,0.25432083217869866,2.999999999999999,1.248240471681411,0.00049647737929551,20.805076594925012,0.03596245779039196
 0.10202836089839273,2.1380124182841715,0.5502590701506777,-179.2932853723485,0.3060850826951782,3.000000000000001,1.544341633924739,0.0011170006040455668,30.085585107873626,0.06349214049007118
 0.11570872071423667,2.1335451868835666,0.550171867870434,-178.88170374280256,0.34712616214270997,2.999999999999997,1.944646329996242,0.0019855959314278543,41.50569664135574,0.09704292169529932
 0.1272142509398103,2.1294429073541554,0.5500575788148877,-178.404158695562,0.3662475251872075,1.6619280180583043,2.4994753337013838,0.003102126200171097,52.57809187042161,0.1276768766868342
 0.13789973238668124,2.125703298720232,0.5499166847793678,-177.8423364703687,0.3341910808465947,-3.0,3.291289879680813,0.004466415097202691,63.1971341178348,0.15161219360161562
 0.14853101506914815,2.1223240800060905,0.5497496675592042,-177.17046987284024,0.30229723279919396,-3.0000000000000027,4.461315295163546,0.006078247185490367,77.52652589488424,0.17591408858293234
 0.15909935992173088,2.119302970236028,0.5495570089497266,-176.35114281196041,0.2705921982414458,-2.9999999999999947,6.2644950053593265,0.007937367938062583,97.51417953158779,0.20071642031128747
 0.16959235215859866,2.1166376884343383,0.5493391907462646,-175.32792728315093,0.23911322153084247,-3.0,9.191419902251626,0.010043483778200813,126.56762967168156,0.22624112114831885
 0.17999178058989446,2.1143259536253156,0.5490966947441477,-174.01169627666152,0.2079149362369551,-3.0,14.263738947139949,0.012396262125798876,171.0775197229241,0.2528725697929702
 0.1902699587497905,2.1123654848332563,0.5488300027387056,-172.25333104979617,0.17708040175726694,-3.0000000000000027,23.8323376230216,0.01499533144988177,244.13354783810576,0.28130913018482334
 0.20038320987506547,2.1107540010824546,0.5485395965252681,-169.78434717240506,0.146740648381442,-3.0000000000000027,44.051233563219846,0.01784028132727356,375.7564875187335,0.31286965425156116
 0.21026074557768282,2.1094892213972054,0.5482259578991646,-166.07279905144873,0.11710804127358992,-3.0000000000000027,93.98613224047449,0.0209306625074089,645.266674649212,0.3499414227561921
 0.21979183923786266,2.1085688648018044,0.5478895686557249,-159.92270193957427,0.0885147602930504,-2.9999999999999987,246.21028820065496,0.024265986983274757,1291.3625327394134,0.3939805880860065
 0.22887792417059452,2.107990650320546,0.5475309105902787,-148.18927228815625,0.06125650549485485,-2.999999999999998,799.4969638782397,0.027845728068471857,2966.801636338605,0.43426978800601335
 0.23768257169044626,2.107752296977725,0.5471504654981555,-122.06762961887544,0.0407223814180669,-2.332191496648773,1809.068118542052,0.031669320480385545,5190.092694842023,0.4594406954497782
 0.24653429072478716,2.107851523797637,0.546748715174685,-76.12638732194866,0.05277872666313593,1.362034334607272,1076.9695844863286,0.03573616042944917,3500.505312441113,0.47251629562414066
 0.25565449530810047,2.108286049804577,0.5463261414151969,-44.20106272751064,0.08013934041307585,3.0,331.5350066767864,0.04004560571449068,1511.6242963946925,0.4840358821901396
 0.26505745545448123,2.109053594022839,0.5458832260150207,-29.987319712210493,0.10834822085221818,3.0000000000000058,119.83389679213435,0.044596975824142814,736.1075418414414,0.49419659711888464
 0.2747551673531494,2.1101518754767192,0.5454204507694861,-22.84876084499535,0.1374413565482228,3.0000000000000027,54.0273017114007,0.04938955204430395,422.3009655056867,0.5089028450840685
 0.2846451209581373,2.1115786131905123,0.5449382974739228,-18.672223888802517,0.16711121736318654,3.0000000000000058,28.51980605281326,0.054422577571631735,271.749923113328,0.526732376652121
 0.294655289869591,2.113331526188513,0.5444372479236602,-15.951961256763552,0.1971417240975476,3.0000000000000027,16.809285019135476,0.059695257633050905,189.27779942589467,0.5464924070653089
 0.3047405205277858,2.115408333495016,0.5439177839140283,-14.043050991077877,0.22739741607213187,2.9999999999999947,10.731212682557386,0.06520675961125662,139.54199077913236,0.5674740871378438
 0.3148721788629478,2.1178067541343166,0.5433803872403566,-12.629259217095376,0.257792391077618,2.9999999999999947,7.275901042662513,0.07095621317619523,107.3406957245908,0.5892616738215584
 0.3250314977398732,2.120524507130711,0.5428255396979746,-11.538750860758235,0.2882703477083942,3.0000000000000053,5.169851488386398,0.07694271042249924,85.33357773065671,0.6116028304529684
 0.3352057403700909,2.1235593115084916,0.5422537230822123,-10.670546336421996,0.3187930755990472,3.0,3.8138000721357,0.08316530601285561,69.64285063683484,0.6343378388257148
 0.3453859801716215,2.126908886291955,0.5416654191883989,-9.961565416476839,0.34933379500363904,3.0000000000000053,2.901162271067799,0.08962301732728606,58.06918907017633,0.6573613965987846
 0.35556577978512416,2.1305709505053962,0.5410611098118644,-9.370432708023843,0.3798731938441471,3.0,2.264175237566337,0.09631482461831395,49.29181006637747,0.6806014126691899
 0.3657403789334305,2.1345432231731105,0.5404412767479381,-8.868908299304003,0.41039699128906604,3.0,1.805830146042109,0.10323967117199397,42.479429847524045,0.7040068010655344
